Comments,Target
Came in good quality and the specs matched my expectations. A little bulkier than I expected but it makes up for it with the loud volume and awesome bass.,-1
The product is awesome more than what I expected. The bass everything about this product shocked me. So I rate this product excellent,-1
"An excellent product 
",-1
It's awesome & have a very nice dynamic sound & superb baas. I recommend this system to those that loves pure music ,-1
Omo this bad boy is freaking loud with good bass. ,-1
The sound and everything ,-1
Battery life super okay ,-1
Very good product,-1
There's nothing left for me to say...the five star rating says it all????,-1
The product is small but mighty ,-1
It's perfect,-1
Nice BoomBox,-1
Really nice speaker has heavy bass and long lasting battery…..,-1
Good product,-1
My third time buying this so the stuff it's really superb,-1
Great Performance for the price..!!!,-1
A recommendable sound for any music lover... Bass so heavy with quality sound...,-1
"The product is okay, the out put and the battery is also okay.",-1
Great sound,-1
It’s okay for the price,-1
"The product is the best of it kind, the sound is smooth and the bass is heavy. Awesome ???? so much it????????????",-1
GREAT!,-1
Good looking and sound nice ????☺️????☺️????☺️,-1
Very good,-1
"Good bass.
Only drawback is it announces ""Bluetooth"" everytime it's switched on.
Anyway, Good battery life and nice sound.",-1
So so perfect ????,-1
This speaker is a discovery. It is really good with good battery too,-1
"Rich sound, loud and good bass. Love it",-1
"it's been good so far, but it would have been better if it came with an actual original charger and earphones, apart from that, it's a good buy.",-1
Working fine,-1
The phone is awesome. No issues at all,-1
It's just too good but the battery is really  3400mph????????,-1
"Like it so much
",-1
"Fast, smooth and nice, never lag for once.",-1
Great phone,-1
Sleek and Handy,-1
"For all the specifications of the S10 and compared with what we have on the market right now, I can totally recommend it's worth the buy and very much affordable.",-1
"I'm really enjoying the phone, no hassle. It's exactly the way it was described.",-1
Came exactly as described Thanks,-1
Quality product,-1
I could'nt believe the fact that this phone came at this price. It looked too good to be true until I got it delivered exactly as display in a new box. Well done.,-1
Came the same way it was displayed,-1
Fantastic product... as good as new,-1
"Highly recommended. I've been using it for a while now, no issues at all.",-1
Very good product. Just as displayed,-1
Perfect,-1
It's awesome,-1
Recommended ,-1
Works as it should. ,-1
working perfectly,-1
"It is a very good product, been enjoying it for like 6 months or more with no issues",-1
The product last for about 5 to 6 hours. The pole provided appears to be the only issue with this item,-1
It's awesome,-1
I got same watts u requested for,-1
Very good and order fulfillment very fantastic,-1
It very nice and last longer,-1
"Work efficiently, I highly recommend anyone to get it",-1
Nice and lights up well,-1
Working as expected,-1
Bright. Efficient censor.,-1
Well package and working fine,-1
The product is good but you refused to put the free pole in the package as stated in the order.,-1
Meet my expectations,-1
It works perfectly.,-1
service free,-1
Product works perfectly,-1
Good working well,-1
"Bought it for a church in Bonny. No complaint whatsoever.
The speed of delivery was also on point.",-1
Its awesome,-1
Good quality,-1
Good performance,-1
"Everything about the MacBook is nice
",-1
Lovely,-1
Very much as described! I love the product!,-1
Perfect,-1
"Original...fast and running perfectly, seller recommend ????",-1
"The product was well packaged. I event checked its authenticity on Apple Inc site and its 100% genuine
The warranty is also in place.",-1
It’s just what I needed. Very happy with my purchase,-1
Very okay.,-1
Works well,-1
Exactly what I ordered ,-1
It makes everything high quality ,-1
Good but I wish it was longer in length,-1
This works well I must say,-1
Very nice. Love it!!!,-1
It meets my expectation.,-1
Excellent,-1
I love the quality,-1
"Eventhough the product didn't come in its original casing, it was still exactly what I ordered.",-1
Super fast and very great quality,-1
Working,-1
The product is not working as expected. The data connection did not work,-1
The speed of the network ,-1
It's really nice.,-1
"It's working perfectly
Doesn't over heat,
The PD is very efficient
The sync it provides to the HDMI device is topnotch ",-1
It functions well,-1
I like it,-1
Works fine ,-1
I recommend. ,-1
Good product.,-1
Product Works As Described,-1
It develops some little technical issues over time but it is still good btw.,-1
The beat is awesome,-1
Been using for over two months now. And it's been awesome. The bass is a dream! The controls have a bit of issue cos I can't get the hang of it but it's easily negligible.,-1
The sound is cool,-1
It is a really good product. Great value for money. Loud and strong.,-1
I really like it,-1
It is very good,-1
Quality delivered as usual. The battery life is great.,-1
Works perfectly with no issues ????,-1
Great sound. Battery lasts long. Clearer calls too. Will recommend.,-1
It’s exactly what I requested for????,-1
Perfect,-1
Awesome,-1
It's easy to operate,-1
The product works well,-1
"The best Earbuds in the market right now, bass, quality, durability all in check... 10/10... Buy now oo",-1
"Loud,comfy and maximum bass",-1
"Amazing audio, and battery life, the bass is premium, would gladly recommend to anybody",-1
"D best among earpods. Sound wise, ba3 wise n so on and so forth are just 101",-1
Hubby loves it,-1
"Amazing bass and a very long battery life, it's just simply exceptional",-1
"Make sense, top notch quality. I'm enjoying every bit of this freepods",-1
"Everything about the product is good, the design, sound quality and connectivity. It also has a long lasting battery life. Recommended ????",-1
so so good,-1
The sound is okay and the battery life is top notch…,-1
Matched my expectations,-1
Amazing product,-1
Very durable,-1
My client loves it,-1
The sound is crazy gooooooooooooood!! A must get.,-1
The batter is long lasting.. Nice pods,-1
What i enjoy most is the long battery life. Sound is just okay,-1
"Last for long hours 
clear output and input",-1
I like the noise cancellation,-1
Love it,-1
It's nice,-1
"Battery lasts longer, and the bass is goood",-1
"I really love it, in fact it beyond my expectation",-1
"I hardly give 5 star ratings but this had to force me into doing that, it's sound really outclassed my expectation, low, mids and high ends really on point, sounds better than any 3.5mm earpiece I have ever used.. Oraimo just got my attention once again after a very long while...!",-1
Got what I expected.,-1
Useful for it's purpose,-1
"Nice battery, good sound.",-1
Its features meet my expectations and it works well for calls and music.,-1
Recommend to all,-1
The sound is good and lasts up to 6 hours✅... But can't increase/reduce volume from pod3 unlike pod2,-1
Good sound output. Especially covering outside disturbance and giving a good bass sound. Better for the price.,-1
Awesome and loving it,-1
It gives a better music experience like I'm in de studio with the artistes,-1
"The sound quality is awesome, the ear tips to selevt from is a sweetspot for me. This stuff is truly built for Afrobeat. Battery life too is awesome...
Let's hope it lasts",-1
The sound is just good...good quality,-1
"It's perfect for the price.....I recommend it to anyone who wants a long lasting Bluetooth earbuds

Trust me",-1
"Bass is lit, good clear sound.",-1
It's okayin aspect of sound but sometimes it has issues with calls,-1
Good quality and sound,-1
"It's cool. Calls are clear, good bass, good ba3 life",-1
Very nice product  still enjoying the product it works well for me,-1
"The product was okay in terms of listening to Audio, but when it comes to voice call. I was having high distortion in the microphone and speaker whenever I call. I’m not sure if it is compatible well with an iPhone",-1
Nice product and great sound quality.,-1
it was really excellent i enjoyed it. recommend to everyone.,-1
The color,-1
It sounds well and last long,-1
I love it ????,-1
"When fully charged,it takes me up to a week before charging it again. Oraimo is did extremely well on this one... I had no regrets cos I'm really enjoying it!",-1
Really enjoy the earbuds and it last up to 7hrs ..????,-1
I like the fact that it connects as soon as the device lid is open.,-1
Good product,-1
"I love the bass.....but the silicone materials doesn't allow the buds fit in well, I had to remove them.",-1
Great Bass and I'm really flexing it,-1
Sound quality is amazing.Easy to use and battery life is good.,-1
"The device is awesome with great bass. But the power should be worked on.  You can turn it off remotely except you leave it discounted  and then goes off after 3mins. There should be a indication that the pods are charging in the case. The ear loops should be made firm and better go avoid looseness causing it to drop off the pods.
Sometimes people find it hard to hear and the noise cancellation is not as strong as advertised.
Apart from that, they are great. I recommend  anyone getting the device.",-1
Just as described,-1
"I love it. It's working fine and the bass is super.

oh yeah, it has longer playtime",-1
It's ok,-1
Awesome keep it up,-1
Loving ❤️ ???? it,-1
It has a longevity battery and very suitable...,-1
The sound is superb,-1
Just what I wanted it's style is mad,-1
Good product,-1
"You are getting more than you paid for with this product, its just perfect all in all",-1
"I just love it, the design, sound and everything",-1
"I love the Ear Pod, I've actually been anticipating a good Earpod and even this. Just getting it is just  too good. I enjoy those bass and clear sound",-1
It's very nice,-1
Great sounds...,-1
It's nice,-1
Nice nice nice,-1
Good sounds but right pod falls out of my ear despite changing the foam,-1
Nice product,-1
Works perfectly fine,-1
The product is working perfectly,-1
"This is my second pair, I lost one ear bud in my 1st pair and decided to buy a new one. I love the fact that I can go without charging it for almost 6 days...sound quality isn't bad either",-1
Don’t buy this B4 Black Friday you’ll get it for more than half the price,-1
Buy it . You’d like it,-1
Got what I ordered,-1
Authentic,-1
Just got it and am loving it. Still testing,-1
Good battery life.,-1
"With this Oraimo Freepods-3 2Baba Edition, I look no further…",-1
Superb,-1
Very brilliant sound,-1
Excellent,-1
Love it,-1
My second buy,-1
Sound okay,-1
I like it to the extent I can't share it????,-1
Stereo is great and supports SBC & AAC,-1
Exactly as described,-1
Excellent so far,-1
Very good,-1
It worth buying again,-1
When make a call sometime connected sometime no,-1
BOOM ????????????,-1
"It does not inform me when the battery is low. Sometimes the right ear does not come on and I have no idea why. 
Overall, I do not recommend it.",-1
It's of really good quality for a fair price,-1
"Good product. The battery is supper lasting , the sound is okay",-1
"It's very comfortable in the ear, I sometimes forget I'm wearing it, lol. The earbud last about 5 hours of continuous playback on highest volume, and it produces nice filtered sound. The voice clarity during calls is superb. The casing sometimes sustains me for more than a week when fully charged. The touch function is not as sensitive, it does not always respond",-1
Amazing sound but sometimes don't allow to connect  both ears together,-1
"Came perfect and earlier than expected, sound quality is perfect too... Well it's oraimo",-1
"awesome piece, great sound, beautiful packaging",-1
Good as advertised. Really deep bassy sound,-1
Very good,-1
The product is nice. Good battery life and sound quality.,-1
Range and sound quality. A worthy purchase.,-1
Nice but low noise filter and your voice is low,-1
Good product,-1
It's just perfect for the price,-1
I Love it So much. Oraimo. Keep it up,-1
I got the exact specification from the description and everything is working as expected.,-1
Great sound,-1
"Blast, go for it, it's the best u can ever ask for and the best u can get",-1
Sound quality top notch. But connection breaks when my phone is in my pocket. It's really frustrating,-1
Fine for the money,-1
One of the best products I have ever used,-1
Great product,-1
The battery life wow and the bass is good the design is cool value for it money,-1
I love this earpod. One charge can last up to 3 days and more. I really enjoy using it.,-1
Love it!!,-1
love the product,-1
Everything in its place and the Bass is awesome. Product is great!!!!!!,-1
Is the Best Earbud ever,-1
"You will love it, good buy",-1
"So so good, good bass, water resistant, so far am enjoying it , I had to get for my wife too",-1
"The battery is superb, 8hrs it is",-1
They are just what everyone desiring music on the go should have in their kitty. Great acoustics and excellent ear grip.,-1
Good product,-1
This product has given me so much convenience just as it was described.,-1
"I’m disappointed, the way the sound quality was hyped online ehn, I didn’t meet it like that ooo, sounds scrab to me, even my 2000 EarPod sounds better(LOL)",-1
Nice product,-1
True to spec as advertised.,-1
I like it.,-1
The sound is premium. It’s worth it,-1
It's just a lil bit bigger than my Ears but yea it's cool????,-1
Easy to connect.... The bass is nice .... Comfortable in the ear .... The rub help to protect it from damage when mistaking falls,-1
Oraimo AirPods *Blast*,-1
the Bass is dup. but i struggle to connect d left ear at dsame tym. For nw I reserved my comment.,-1
The sound quality is amazing! You should definitely try this,-1
Wow total noise cancellation ????????,-1
Product met specifications,-1
is what I expected,-1
It’s worth it,-1
Amazing,-1
Good bass,-1
Last and the base sound good i love it.,-1
"Effect, Noise cancellation, Long Battery life and the packaging.  Tumps-up!",-1
"I got exactly what I ordered, and it’s working perfectly.",-1
Oraimo dey try well,-1
Nice product.,-1
"Abeg, the price is worth the value! 

First of all, the bass is just so so good and at the same time having a clear, distinct quality sound! When I'm watching Netflix with it, it's as if I'm in cinema + the Environmental Noise cancellation is superb, I didn't even know a gen was on around me, it was when I has removed the earbud I even noticed, to tell you how good it is!

The earbuds are designed so well that you would you even forget an earbud is in your ear! It fits so well.

They definitely didn't lie about battery life,.used it for 4hrs straight and only 50% still remained!

Perhaps, where I would just like them to improve is the touch control, wished it was flat for easier touching. 

But in all....10/10 for this♥️♥️",-1
The sound and lasting battery,-1
As expected just too good,-1
Perfect product,-1
"Booyaka, simply awesome. A Must have.",-1
I feel like this product has way too many good reviews so i dont need to talk much. I love it so much that  Its my 3rd buy!,-1
"Very firm in the ear, nice bass, and long lasting",-1
Bass Mode is lit!,-1
Pairs well with my iPhone… no issues,-1
Oraimo my product ????????,-1
It works really well; audio quality is great and calls are clear. It's just a bit difficult to get used to the touch capability cause it seems to work of it's own will,-1
It worth the price,-1
Just as advertised,-1
"This earbuds is all it promises to be. fell inside water, forgot and used it while bathing, fell multiple time but still working perfectly fine. Been more than 6months since I bought it and it still sounds like the first day I used it.

Never regretted paying for this.",-1
"awesome bass, noise cancelling fantastic",-1
"I enjoy using it
it lasts so long and have a good audio feedback with songs and calls.",-1
I love what I got... ????????????,-1
I've never been disappointed by an Oraimo product and this is no exception,-1
"... has been doing it's work till now.
It's great! It's worth it",-1
"It’s perfect, worth the money, sound it good, easy to understand instruction guide. Only problem I had was one ear wasn’t pairing at first. I fixed it by pairing with the particular ear that want pairing Alone, instead of together, then pairing with the other ear later",-1
I love this earpiece. The bluetooth is apt!,-1
Just like the saying the sound is the difference once you start using this product you will feel the difference in the sound. Don't hesitate to get one for yourself. And I think you guys can had a pouch to it,-1
The experience was on another level,-1
Oraimo is the best,-1
You can't use it for a phone call. The person at the other end won't hear anything you say.,-1
"Was very sceptical in getting it but ended up buying it.
It has a wonderful music production, thou the awareness mood is just a marketing strategy, listening to music on awareness mood doesn't give you the nice music production.
In general it's a very nice stereo earbuds for music lovers",-1
Working great ????,-1
"the bass is top notch, long lasting battery and great output",-1
"Can’t turn on buds without the case and ear tips loose elasticity easily
PS:I’ve used mine for about 1 month",-1
It's long lasting,-1
The bass is topnotch and the battery lasts a great deal. A good buy,-1
"The product is so nice ,the battery????is strong and the sounds is so good ????",-1
Oraimo no need too much hyping na lol,-1
It's very okay and it lasts.,-1
Terrible noise cancellation,-1
"The ear foam should not fall off,
I would rate it 6.5/10 as an audiophile
And 8.5/10 as an average person
But the battery is extremely good",-1
It works well enough for the price..good buy,-1
Lovely,-1
Noice cancellation is top notch,-1
Works fine,-1
Just got it and I'm enjoying it!!,-1
Nice one,-1
"Noise cancellation works very fine.
Bass boost if superb. For the price? It’s a cheat",-1
"I love everything about this earbuds, long lasting and everything I hoped for",-1
Serving well.,-1
So nice and fantastic,-1
Serves my need,-1
It sounds good.,-1
"It has a good battery,it last for like 3day on a heavy usage and it has a good sound ????",-1
Good product with long lasting duration of usage!,-1
"I love the packing. The sound/bass, everything is cool for me. I’m enjoying my earpod so much ????",-1
"After reading so many reviews and watching so many review videos on YouTube. I finally decided to order it and I'm glad to tell you that my expectations was met. 
Good sound quality
Good battery life 

90%",-1
Works as advertised (Huge emphasis on base) but you may not enjoy it if your ear holes are small,-1
Nice product,-1
Perfect,-1
The noise cancellation feature is amazing!,-1
Good quality,-1
Very nic,-1
Connected,-1
The sound is really ok. Will really recommend.,-1
"Sound quality is good, However the touch control isn't accurate, it's takes several attempts to change songs. Pairing after disconnection isn't smooth it takes a while to reconnect.",-1
"Very good sound, even if I don't charge it for 4days, I am still good to make use of it.... Best of the best... Good one",-1
It's quality,-1
It’s a really comfortable fit that works perfectly. The battery charges quickly and lasts for so long. The sound quality is great especially with the noise cancelling buds on. I highly recommend,-1
"It ok for the price, and I enjoyed every beat of it",-1
Prefect for use.,-1
"The product is okay but if falls off ears easily. The rubbers are too big, making it fall off ears and you can only enjoy the bass when the rubbers are there.",-1
The sound is great and the power on the earbuds lasts long after a charge,-1
Excellent,-1
Worth every penny,-1
"The sound is good , the size is also good and it has a long  lasting battery.",-1
"Please the product is really cool and sleek, but the only default I have is for oraimo to produce a protective casing for the Earbuds.",-1
"Its worth price, loud, it has the bass my only pro with it is the touch isn’t as sensitive as it was advertised",-1
The best,-1
long lasting battery and the sound,-1
"The earpods are good, I mean very good and for it's price I would say it's very fair. Not just the bass but the noise cancellation feature is also top notch. I barely hear anything from my surrounding when I put them on and not to mention the battery, oh my, since I bought it for the past 3 weeks it has never been low. It really lasts.",-1
It's Good,-1
"The battery is superb and the bass is fire ????
I’ll recommend this to anyone and everyone",-1
"The features are magnificent.
I love it.",-1
does the job,-1
"It feels and looks nice, it also have great battery life, from some who came from a mid range battery life earbuds, to have mics on it is really good, but the quality is good but not too god, About the sound it sounds great but the bass is not top end, it’s just basic normal bass.",-1
I bought these earbuds because of the reviews. There's no bass or noise cancellation but the battery life is impressive.,-1
Very perfect in everything and It's Recommendable.,-1
"The buds are a little too big for people with small ears 
Nevertheless, the sound is really great ????????",-1
"Oraimo letting us enjoy premium quality for cheap. Sound is impeccable, durability is top notch. Mine fell into water and nothing happened to it",-1
The battery lasts long and it is durable even if the pods fall from aeroplane and lands inside frying pan it will still work ????,-1
"Oraimo is the best.... This Earbuds is something else honestly...
The sound is wonderful....
It worth the money",-1
"Awesome product, could do better with a pouch. Impressive bass and battery life. Although, there was error in packaging with the buds. The 3 sizes are all the same, didn't expect that from the official store. Like I said it's a minor packaging error.",-1
Love the bass of the music,-1
I'm enjoying it,-1
Not up to a month and it's already messing up.,-1
"Good Bass output, enhanced by DSP",-1
"Excellent product, sound quality and battery life checked",-1
It's exactly what I ordered for,-1
It's worth it,-1
"The sound is great, battery life is good. I lost my former one, i was so addicted; i had to buy another",-1
Got what I ordered,-1
"Exactly how i wanted it, i love it..",-1
Great value for money,-1
Great sound and battery,-1
"Great product, nice bass, but awareness mode is a bit disappointing,
Did you say ENC is present? Well, i don't think it is present.",-1
Battery lasts long,-1
"Very good product. It fell into water, and its still working fine",-1
Exactly what I ordered.,-1
Very sleek,-1
"Love it so far. Was worth it!
Battery is durable and sound quality on call or with Spotify is great!",-1
Its the best i have come across in recent time...,-1
Oraimo will always be the best airpod product in Nigeria,-1
It's superb ???? ????,-1
Superb,-1
Worth every penny,-1
"A week of usage. Battery life is on point, connects fast and the sound production is good. Enjoying it so far. Let's see how it does with time.",-1
"The functionalities so far look great. It would be nice if they allowed us to choose based on the size of one's ears for the device. Omg, my ears are so small, they sometimes hurt from the bugginess.",-1
Sound is great,-1
The sound are 100% good,-1
It has an amazing sound quality with a clear bass tone,-1
Exceeded my expectations for something within this price range. It's a must buy if you're looking for something within this price range.,-1
The sound is out of this world. The noise filter feature is commendable too,-1
I like it,-1
It beats my expextation,-1
Very good,-1
"It's beautiful, and the sand is perfect",-1
value 4 money,-1
Just as expected and the bass is mad!,-1
Great product. Lasting battery and good sound.  Impressive,-1
"Oraimo keeps impressing us with each product. This 2baba pod is just top touch. I would really love it if Oraimo can produce other colours of it like white, pink, red, yellow etc ????. Oraimo nah d baba of quality products legit. Keep it up guys.",-1
Very clear sound.,-1
worth it,-1
It's great I love it,-1
"Awesome Product working well, confirmed by the person I gave as a gift",-1
It's perfect but can be more,-1
No one will ever regret buying this. I really love it!. What gives me more joy is the rate of how fast it gets charged and used for a long time before getting low.,-1
"Lovely earbuds, good bass output and beautiful design ...",-1
Dope and I'm serious about this.,-1
It's great. Thank you.,-1
It’s exact how I expected it,-1
Right ear not working,-1
"This is my third review, bought it first time and misplaced it after a month, bought it second one of my friend tested it and loved it so he took it, so this is the third time am buying it.. So addicted ????????",-1
I don’t like the grip it’s not firm on the ear it can easily fall off but every other thing is perfect,-1
Really nice buh the awareness mood ain’t cool,-1
It’s very good,-1
"Totally worth the money...really great product here, thumbs up to u guys????????????????",-1
The sound is topnotch. It's worth every penny of it,-1
The sound production and voice clarity is really commendable.,-1
sounds very okay even with calls.,-1
Works as advertised. Fits well and battery life is good.,-1
Nice to behold and good to use,-1
Very nice,-1
Very good bass and lasting battery,-1
Perfect,-1
Works quite well,-1
It cool,-1
It really nice,-1
Great for the price,-1
It's a wonderful product. Good value for money,-1
Love it,-1
I love the sound. It lasts,-1
Wonderful,-1
"It's just as described, loud, fitting and all... Also the ENC is superb and the call quality is good",-1
It's worth the money. Long lasting battery life and the sound is ????,-1
Very clear when making calls. Good sound and bass. Fitting in the ear.,-1
"It's okay for the price
Sound is okay but can be improved",-1
It's really cool,-1
product came as expected,-1
The battery ???? level is strong for days and I will still be using it,-1
"I love every bit of it. It's light weight, long lasting and amazing sound! Oraimo Freebuds 3 is my best Oraimo product so far!",-1
"Sound ✅
Battery ✅
But the ENC is missing",-1
It's working very well so far,-1
"Omooor, Damn!!!",-1
This hits differently. The battery is surprisingly durable.,-1
Works great!,-1
Very powerful,-1
I got what I ordered,-1
Superb!!! Sound like iphone earpod. I'm impress because vision is from Nigerian,-1
Everything about the pod is good.,-1
You are doing well oin,-1
Love it!!⭐️⭐️⭐️⭐️,-1
The sound quality is awesome. Highly recommended.,-1
Great battery time and great experience in general totally worth the money,-1
It was the original,-1
"It was Original, was skeptical at first about its authenticity.",-1
"So far so good, it’s been everything I wanted and more",-1
Make sense for getting sealed from the oraimo ..,-1
"The Bluetooth airpod is magic 
I am rocking it right now",-1
"Always loved it, lost it before had to get another one.",-1
"Very good indeed
Still using it till date since last year July",-1
I love the sound. It connects very fast and it's very efficient when making calls. Both parties hears well.,-1
You are still doing well enough.,-1
It worth every penny paid on it,-1
The beat is very nice,-1
The base...loudness????,-1
It’s worth every penny,-1
I just got it the products works well,-1
I got the product just in time.. everything is good.. I really like it,-1
Perfect,-1
When I said it was very fantastic believe me,-1
It’s lovely and battery health last long ????????,-1
"Punchy bass, long lasting battery life",-1
"Such a fabulous product, superb",-1
"Perfect bass, but bulky in the ear.",-1
"One ear is not working properly don't know why , ????",-1
Just as described. Very nice,-1
Sound is Smooth,-1
I just started using the Freepods-3 and I am already hooked up. Its so comfy and the voice clarity is awesome! I highly recommend.,-1
I love it...love the fact I didn't regret buying this...good product,-1
Really nice,-1
The Bass is top-notch!!,-1
I love it,-1
Good sound,-1
I so much love it. It’s not making noise rather is so calm and cool.,-1
It works well and it is much better than what i expected,-1
"Good music quality, also good for gaming from my experience, perfect battery life ????",-1
It's serving the purpose and was received earlier than promised.,-1
I love how its power is able to last a long time. I go more than a week sometimes without charging its case.,-1
Nice One,-1
The Pod is exactly what I ordered for,-1
Awesome,-1
"It's long lasting,and the sound is perfect.",-1
I got what I ordered for.,-1
I got exactly what I wanted. Based like a home Theatre,-1
"Wide range, last long without charging and very dope sound",-1
"Best brand of all the time...my customer like it, good bass ... everything good as comment by the buyer.",-1
"Good but Jumia is the most unorganised and unprofessional set of humans I've seen
The set of humans handling Ajah axis are so pathetic... Gosh!",-1
Suits my taste ❤️,-1
it's worth the money. and the battery life span is beyond expectation.,-1
Sound quality is very good. Both modes promised were actually delivered. Though can’t still operate it well.,-1
"The bass sound is fantastic!
The battery life is superb and its lightweight design makes it very portable.The surface is dust resistant and the noise cancellation is great too!
A good value for money.",-1
Get a pouch or case for it so it’s easier to carry and the body doesn’t start to scratch easily. Thank you,-1
It is as expected,-1
Sound is quality,-1
Great sound and design,-1
"Very good, quality sound",-1
its great,-1
Excellent play sound and environmental noise cancellation.,-1
The delivery man took too long to deliver,-1
The product is amazing and I’m enjoying the sound,-1
It is good product,-1
"An ear pod stops
 working after a month",-1
The sound lags while playing mobile game like CODM. You are dead before you know,-1
It's good but the rubber sometimes get stuck in the ear and you have to remove it separately..,-1
Perfect,-1
The sound effects and durability.,-1
"Really cool, I like it",-1
I love it. Working perfectly.  I recommend,-1
It has great bass sounds,-1
"Battery lasts long, hence; there's no need for frequent charging. It's my best so far when compared to about 10 diffrent types I've used in the past. It's really a top premium brand.",-1
A really cool product...Incredible battery life and bass,-1
Super dope,-1
Perfectly okay,-1
It fell from a moving car and still works well,-1
Sounds good,-1
Nice buds,-1
Only drawback for me is sometimes even connected my audio is still heard from the phones speaker. But clarity and useage is 10/10,-1
"Long lasting power
And noise cancellation when needed",-1
It is very good,-1
Sounds Well. Just that its Operation are quite different frm other devices have used. A single tap should pause or play an existing song not a double tap.,-1
"It has a nice design,good battery life,comfy and 2baba lol",-1
I love the product,-1
"Had to wait patiently for it to be delivered but when i received it, i found the free-pods to be  an outstanding product. Clear sound, good bass, you don’t need to shout to make calls. And, it was an authentic product i authenticated as genuine online by scanning the bar code and entering the code i scratched on the product. I love it and have  ordered another.",-1
Very good product,-1
It works well and I really enjoy it,-1
It is worth the value,-1
"Very great for the price, actually does have active noise cancellation.",-1
"So far so good, makes brain.",-1
It’s cool,-1
Veery good,-1
It came in time and it perfectly cool for me. But am not so comfortable with the rubber bass attached to it.. It hurt my ear ????,-1
The battery and clear sound,-1
It's very okay,-1
